o/a estudante,student
o triângulo,triangle
a trompeta,trumpet
o tumulto,tumult
o túnel,tunnel
o turismo,tourism
o tutor,tutor
a união,union
o uniforme,uniform
a universidade,university
o utensílio,utensil
a utilidade,utility
a vacina,vaccine
a vaga,vacancy
o vegetariano,vegetarian
a vista,view
o vale,valley
a vaidade,vanity
o vaso,vase
o Vaticano,Vatican
o veículo,vehicle
o vinagre,vinegar
o violino,violin
a visa,visa
a visita,visit
o zodíaco,zodiac
a zona,zone
a zoologia,zoology
as meias,stockings
os óculos,glasses
os cheques de viagem,travelers checks
os óculos de sol,sunglasses
a secretária,desk
a tradução,translation
o interprete,interpreter
a/o cliente,client
a opinião,opinion
a reunião,meeting
a obediência,obedience
a hospedaria,boardinghouse
o pensamento,thought
o indivíduo,individual
a tinta,paint/ink
a classe,class
o limite,limit
o socorro,help
o café da manha,breakfast
o humor,humor
a gripe,flu
o resfridao,cold
o chapéu,hat
a mente,mind@5
a indústria,industry
o ar,air
a entrada,entrance
a floresta,forest
a guitarra,guitar
o menino,boy
a menina,girl
a harmonia,harmony
a libra,pound (weight)
o envelope,envelope
a capacidade,capacity
o lucro,profit
o gosto,taste
o futebol,soccer
x xampu,shampoo
a civilização,civilization
o caminho,way
o emprego,employment
o instante,instant
a dívida,debit
o negócio,business (n)
o céu,sky/heaven
o comércio,business (c)
o outono,autumn
o inverno,winter
a primavera,spring
